policy,rrs_mode,m_budget_mb,bw_gbps,epsilon,epsilon_abs,epsilon_norm,token_ref,requests,ttft_p50_ms,ttft_p95_ms,ttft_mean_ms,hit_rate,resident_hit_rate,offload_hit_rate,recompute_ratio,restore_ratio,qloss_current,qloss_peak,qloss_current_abs,qloss_peak_abs,qloss_current_norm,qloss_peak_norm,memory_peak_mb,migrations,evictions,offloads,drops,epsilon_ok,experiment,repeat_seed,method,epsilon_norm_cfg,qloss_within_budget,TTFT_p95,QLoss_abs,QLoss_norm,M_peak,N_mig,T_policy,c_mig
static-int4,rrs,3000.0,8.0,51.888,51.888,0.008,6486,70,1.56,21.744,5.885143,0.642857,0.642857,0.0,0.357143,0.0,51.888,51.888,51.888,51.888,0.008,0.008,194.58,0,0,0,0,True,H4,4,static-int4,0.008,True,21.744,51.888,0.008,194.58,0,0.0,0.0
static-sparse-k,rrs,3000.0,8.0,51.888,51.888,0.008,6486,70,1.56,21.744,5.885143,0.642857,0.642857,0.0,0.357143,0.0,97.29,97.29,97.29,97.29,0.015,0.015,155.664,0,0,0,0,False,H4,4,static-sparse-k,0.008,False,21.744,97.29,0.015,155.664,0,0.0,0.0
score,rrs,3000.0,8.0,51.888,51.888,0.008,6486,70,1.56,21.744,5.885143,0.642857,0.642857,0.0,0.357143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,778.32,0,0,0,0,True,H4,4,lpe-only,0.008,True,21.744,0.0,0.0,778.32,0,0.0,0.0
tiered,rrs,3000.0,8.0,51.888,51.888,0.008,6486,70,1.56,21.744,5.885143,0.642857,0.642857,0.0,0.357143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,778.32,0,0,0,0,True,H4,4,tms-tiered,0.008,True,21.744,0.0,0.0,778.32,0,0.0,0.0
pgdsf,rrs,1600.0,8.0,12.972,12.972,0.002,6486,70,1.56,21.744,5.885143,0.642857,0.642857,0.0,0.357143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,778.32,0,0,0,0,True,H4,5,ragcache_pgdsf_approx,0.002,True,21.744,0.0,0.0,778.32,0,0.0,0.0
static-int4,rrs,1600.0,8.0,12.972,12.972,0.002,6486,70,1.56,21.744,5.885143,0.642857,0.642857,0.0,0.357143,0.0,51.888,51.888,51.888,51.888,0.008,0.008,194.58,0,0,0,0,False,H4,5,static-int4,0.002,False,21.744,51.888,0.008,194.58,0,0.0,0.0
static-sparse-k,rrs,1600.0,8.0,12.972,12.972,0.002,6486,70,1.56,21.744,5.885143,0.642857,0.642857,0.0,0.357143,0.0,97.29,97.29,97.29,97.29,0.015,0.015,155.664,0,0,0,0,False,H4,5,static-sparse-k,0.002,False,21.744,97.29,0.015,155.664,0,0.0,0.0
score,rrs,1600.0,8.0,12.972,12.972,0.002,6486,70,1.56,21.744,5.885143,0.642857,0.642857,0.0,0.357143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,778.32,0,0,0,0,True,H4,5,lpe-only,0.002,True,21.744,0.0,0.0,778.32,0,0.0,0.0
tiered,rrs,1600.0,8.0,12.972,12.972,0.002,6486,70,1.56,21.744,5.885143,0.642857,0.642857,0.0,0.357143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,778.32,0,0,0,0,True,H4,5,tms-tiered,0.002,True,21.744,0.0,0.0,778.32,0,0.0,0.0
pgdsf,rrs,1600.0,8.0,25.944,25.944,0.004,6486,70,1.56,21.744,5.885143,0.642857,0.642857,0.0,0.357143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,778.32,0,0,0,0,True,H4,5,ragcache_pgdsf_approx,0.004,True,21.744,0.0,0.0,778.32,0,0.0,0.0
static-int4,rrs,1600.0,8.0,25.944,25.944,0.004,6486,70,1.56,21.744,5.885143,0.642857,0.642857,0.0,0.357143,0.0,51.888,51.888,51.888,51.888,0.008,0.008,194.58,0,0,0,0,False,H4,5,static-int4,0.004,False,21.744,51.888,0.008,194.58,0,0.0,0.0
static-sparse-k,rrs,1600.0,8.0,25.944,25.944,0.004,6486,70,1.56,21.744,5.885143,0.642857,0.642857,0.0,0.357143,0.0,97.29,97.29,97.29,97.29,0.015,0.015,155.664,0,0,0,0,False,H4,5,static-sparse-k,0.004,False,21.744,97.29,0.015,155.664,0,0.0,0.0
score,rrs,1600.0,8.0,25.944,25.944,0.004,6486,70,1.56,21.744,5.885143,0.642857,0.642857,0.0,0.357143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,778.32,0,0,0,0,True,H4,5,lpe-only,0.004,True,21.744,0.0,0.0,778.32,0,0.0,0.0
tiered,rrs,1600.0,8.0,25.944,25.944,0.004,6486,70,1.56,21.744,5.885143,0.642857,0.642857,0.0,0.357143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,778.32,0,0,0,0,True,H4,5,tms-tiered,0.004,True,21.744,0.0,0.0,778.32,0,0.0,0.0
pgdsf,rrs,1600.0,8.0,51.888,51.888,0.008,6486,70,1.56,21.744,5.885143,0.642857,0.642857,0.0,0.357143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,778.32,0,0,0,0,True,H4,5,ragcache_pgdsf_approx,0.008,True,21.744,0.0,0.0,778.32,0,0.0,0.0
static-int4,rrs,1600.0,8.0,51.888,51.888,0.008,6486,70,1.56,21.744,5.885143,0.642857,0.642857,0.0,0.357143,0.0,51.888,51.888,51.888,51.888,0.008,0.008,194.58,0,0,0,0,True,H4,5,static-int4,0.008,True,21.744,51.888,0.008,194.58,0,0.0,0.0
static-sparse-k,rrs,1600.0,8.0,51.888,51.888,0.008,6486,70,1.56,21.744,5.885143,0.642857,0.642857,0.0,0.357143,0.0,97.29,97.29,97.29,97.29,0.015,0.015,155.664,0,0,0,0,False,H4,5,static-sparse-k,0.008,False,21.744,97.29,0.015,155.664,0,0.0,0.0
score,rrs,1600.0,8.0,51.888,51.888,0.008,6486,70,1.56,21.744,5.885143,0.642857,0.642857,0.0,0.357143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,778.32,0,0,0,0,True,H4,5,lpe-only,0.008,True,21.744,0.0,0.0,778.32,0,0.0,0.0
tiered,rrs,1600.0,8.0,51.888,51.888,0.008,6486,70,1.56,21.744,5.885143,0.642857,0.642857,0.0,0.357143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,778.32,0,0,0,0,True,H4,5,tms-tiered,0.008,True,21.744,0.0,0.0,778.32,0,0.0,0.0
pgdsf,rrs,2200.0,8.0,12.972,12.972,0.002,6486,70,1.56,21.744,5.885143,0.642857,0.642857,0.0,0.357143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,778.32,0,0,0,0,True,H4,5,ragcache_pgdsf_approx,0.002,True,21.744,0.0,0.0,778.32,0,0.0,0.0
static-int4,rrs,2200.0,8.0,12.972,12.972,0.002,6486,70,1.56,21.744,5.885143,0.642857,0.642857,0.0,0.357143,0.0,51.888,51.888,51.888,51.888,0.008,0.008,194.58,0,0,0,0,False,H4,5,static-int4,0.002,False,21.744,51.888,0.008,194.58,0,0.0,0.0
static-sparse-k,rrs,2200.0,8.0,12.972,12.972,0.002,6486,70,1.56,21.744,5.885143,0.642857,0.642857,0.0,0.357143,0.0,97.29,97.29,97.29,97.29,0.015,0.015,155.664,0,0,0,0,False,H4,5,static-sparse-k,0.002,False,21.744,97.29,0.015,155.664,0,0.0,0.0
score,rrs,2200.0,8.0,12.972,12.972,0.002,6486,70,1.56,21.744,5.885143,0.642857,0.642857,0.0,0.357143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,778.32,0,0,0,0,True,H4,5,lpe-only,0.002,True,21.744,0.0,0.0,778.32,0,0.0,0.0
tiered,rrs,2200.0,8.0,12.972,12.972,0.002,6486,70,1.56,21.744,5.885143,0.642857,0.642857,0.0,0.357143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,778.32,0,0,0,0,True,H4,5,tms-tiered,0.002,True,21.744,0.0,0.0,778.32,0,0.0,0.0
pgdsf,rrs,2200.0,8.0,25.944,25.944,0.004,6486,70,1.56,21.744,5.885143,0.642857,0.642857,0.0,0.357143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,778.32,0,0,0,0,True,H4,5,ragcache_pgdsf_approx,0.004,True,21.744,0.0,0.0,778.32,0,0.0,0.0
static-int4,rrs,2200.0,8.0,25.944,25.944,0.004,6486,70,1.56,21.744,5.885143,0.642857,0.642857,0.0,0.357143,0.0,51.888,51.888,51.888,51.888,0.008,0.008,194.58,0,0,0,0,False,H4,5,static-int4,0.004,False,21.744,51.888,0.008,194.58,0,0.0,0.0
static-sparse-k,rrs,2200.0,8.0,25.944,25.944,0.004,6486,70,1.56,21.744,5.885143,0.642857,0.642857,0.0,0.357143,0.0,97.29,97.29,97.29,97.29,0.015,0.015,155.664,0,0,0,0,False,H4,5,static-sparse-k,0.004,False,21.744,97.29,0.015,155.664,0,0.0,0.0
score,rrs,2200.0,8.0,25.944,25.944,0.004,6486,70,1.56,21.744,5.885143,0.642857,0.642857,0.0,0.357143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,778.32,0,0,0,0,True,H4,5,lpe-only,0.004,True,21.744,0.0,0.0,778.32,0,0.0,0.0
tiered,rrs,2200.0,8.0,25.944,25.944,0.004,6486,70,1.56,21.744,5.885143,0.642857,0.642857,0.0,0.357143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,778.32,0,0,0,0,True,H4,5,tms-tiered,0.004,True,21.744,0.0,0.0,778.32,0,0.0,0.0
pgdsf,rrs,2200.0,8.0,51.888,51.888,0.008,6486,70,1.56,21.744,5.885143,0.642857,0.642857,0.0,0.357143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,778.32,0,0,0,0,True,H4,5,ragcache_pgdsf_approx,0.008,True,21.744,0.0,0.0,778.32,0,0.0,0.0
static-int4,rrs,2200.0,8.0,51.888,51.888,0.008,6486,70,1.56,21.744,5.885143,0.642857,0.642857,0.0,0.357143,0.0,51.888,51.888,51.888,51.888,0.008,0.008,194.58,0,0,0,0,True,H4,5,static-int4,0.008,True,21.744,51.888,0.008,194.58,0,0.0,0.0
static-sparse-k,rrs,2200.0,8.0,51.888,51.888,0.008,6486,70,1.56,21.744,5.885143,0.642857,0.642857,0.0,0.357143,0.0,97.29,97.29,97.29,97.29,0.015,0.015,155.664,0,0,0,0,False,H4,5,static-sparse-k,0.008,False,21.744,97.29,0.015,155.664,0,0.0,0.0
score,rrs,2200.0,8.0,51.888,51.888,0.008,6486,70,1.56,21.744,5.885143,0.642857,0.642857,0.0,0.357143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,778.32,0,0,0,0,True,H4,5,lpe-only,0.008,True,21.744,0.0,0.0,778.32,0,0.0,0.0
tiered,rrs,2200.0,8.0,51.888,51.888,0.008,6486,70,1.56,21.744,5.885143,0.642857,0.642857,0.0,0.357143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,778.32,0,0,0,0,True,H4,5,tms-tiered,0.008,True,21.744,0.0,0.0,778.32,0,0.0,0.0
pgdsf,rrs,3000.0,8.0,12.972,12.972,0.002,6486,70,1.56,21.744,5.885143,0.642857,0.642857,0.0,0.357143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,778.32,0,0,0,0,True,H4,5,ragcache_pgdsf_approx,0.002,True,21.744,0.0,0.0,778.32,0,0.0,0.0
static-int4,rrs,3000.0,8.0,12.972,12.972,0.002,6486,70,1.56,21.744,5.885143,0.642857,0.642857,0.0,0.357143,0.0,51.888,51.888,51.888,51.888,0.008,0.008,194.58,0,0,0,0,False,H4,5,static-int4,0.002,False,21.744,51.888,0.008,194.58,0,0.0,0.0
static-sparse-k,rrs,3000.0,8.0,12.972,12.972,0.002,6486,70,1.56,21.744,5.885143,0.642857,0.642857,0.0,0.357143,0.0,97.29,97.29,97.29,97.29,0.015,0.015,155.664,0,0,0,0,False,H4,5,static-sparse-k,0.002,False,21.744,97.29,0.015,155.664,0,0.0,0.0
score,rrs,3000.0,8.0,12.972,12.972,0.002,6486,70,1.56,21.744,5.885143,0.642857,0.642857,0.0,0.357143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,778.32,0,0,0,0,True,H4,5,lpe-only,0.002,True,21.744,0.0,0.0,778.32,0,0.0,0.0
tiered,rrs,3000.0,8.0,12.972,12.972,0.002,6486,70,1.56,21.744,5.885143,0.642857,0.642857,0.0,0.357143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,778.32,0,0,0,0,True,H4,5,tms-tiered,0.002,True,21.744,0.0,0.0,778.32,0,0.0,0.0
pgdsf,rrs,3000.0,8.0,25.944,25.944,0.004,6486,70,1.56,21.744,5.885143,0.642857,0.642857,0.0,0.357143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,778.32,0,0,0,0,True,H4,5,ragcache_pgdsf_approx,0.004,True,21.744,0.0,0.0,778.32,0,0.0,0.0
static-int4,rrs,3000.0,8.0,25.944,25.944,0.004,6486,70,1.56,21.744,5.885143,0.642857,0.642857,0.0,0.357143,0.0,51.888,51.888,51.888,51.888,0.008,0.008,194.58,0,0,0,0,False,H4,5,static-int4,0.004,False,21.744,51.888,0.008,194.58,0,0.0,0.0
static-sparse-k,rrs,3000.0,8.0,25.944,25.944,0.004,6486,70,1.56,21.744,5.885143,0.642857,0.642857,0.0,0.357143,0.0,97.29,97.29,97.29,97.29,0.015,0.015,155.664,0,0,0,0,False,H4,5,static-sparse-k,0.004,False,21.744,97.29,0.015,155.664,0,0.0,0.0
score,rrs,3000.0,8.0,25.944,25.944,0.004,6486,70,1.56,21.744,5.885143,0.642857,0.642857,0.0,0.357143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,778.32,0,0,0,0,True,H4,5,lpe-only,0.004,True,21.744,0.0,0.0,778.32,0,0.0,0.0
tiered,rrs,3000.0,8.0,25.944,25.944,0.004,6486,70,1.56,21.744,5.885143,0.642857,0.642857,0.0,0.357143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,778.32,0,0,0,0,True,H4,5,tms-tiered,0.004,True,21.744,0.0,0.0,778.32,0,0.0,0.0
pgdsf,rrs,3000.0,8.0,51.888,51.888,0.008,6486,70,1.56,21.744,5.885143,0.642857,0.642857,0.0,0.357143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,778.32,0,0,0,0,True,H4,5,ragcache_pgdsf_approx,0.008,True,21.744,0.0,0.0,778.32,0,0.0,0.0
static-int4,rrs,3000.0,8.0,51.888,51.888,0.008,6486,70,1.56,21.744,5.885143,0.642857,0.642857,0.0,0.357143,0.0,51.888,51.888,51.888,51.888,0.008,0.008,194.58,0,0,0,0,True,H4,5,static-int4,0.008,True,21.744,51.888,0.008,194.58,0,0.0,0.0
static-sparse-k,rrs,3000.0,8.0,51.888,51.888,0.008,6486,70,1.56,21.744,5.885143,0.642857,0.642857,0.0,0.357143,0.0,97.29,97.29,97.29,97.29,0.015,0.015,155.664,0,0,0,0,False,H4,5,static-sparse-k,0.008,False,21.744,97.29,0.015,155.664,0,0.0,0.0
score,rrs,3000.0,8.0,51.888,51.888,0.008,6486,70,1.56,21.744,5.885143,0.642857,0.642857,0.0,0.357143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,778.32,0,0,0,0,True,H4,5,lpe-only,0.008,True,21.744,0.0,0.0,778.32,0,0.0,0.0
tiered,rrs,3000.0,8.0,51.888,51.888,0.008,6486,70,1.56,21.744,5.885143,0.642857,0.642857,0.0,0.357143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,778.32,0,0,0,0,True,H4,5,tms-tiered,0.008,True,21.744,0.0,0.0,778.32,0,0.0,0.0
